Code,Year,Problem,Assigned,Implementation,Validation,Extra Instances,Restarts,# New,CompH,CompHP,CompE,Type,Source Code?,Termination,Notes,LS,LR,Journal,Citations,Method,Classification,Graphs,Model,NumInst,NumAccessible,Model,Processor,RAM,OS,Lang./Compiler,Compiler Flags,Publish code,
shylo2011b ,2011,MAXCUT ,,,,,,,1,1,0,Same computer,Yes -- shlyo2010 (likely own code),Same runtime (probably),,,* ,International Journal of Swarm Intelligence Research ,1,Global Equilibrium Search ,,G (24_50); sg (20),,44,44,,Intel Core Quad Q9550 2.83 GHz,3 GB,,,,,
shylo2011 ,2011,QUBP ,,,,,,,2,2,0,Mixed (1/1),Yes -- MST2; No -- HMA (lu2010),Mixed (1/1),,,* ,Cybernetics and Systems Analysis ,1,Global Equilibrium Search ,,p3-7 + p 10000,,24,24,,Intel Core Quad Q9550 2.83 GHz,3 GB,,C++,,,
wang2011 ,2011,QUBP ,,,,,,,10,9,0,Mixed (2/8),"Mixed: Yes -- DHNN-EDA (wang2010), TM (sun2003); No -- ITS (palubeckis2006), MST1, MST2 (palubeckis2004b), MA (merz2004), SS (marti2009), HCE (laguna2009), circut, VNSPR",Mixed (2/8),,,* ,Expert Systems with Applications ,1,Tabu hopfield network ,,"p3-7, G (24_50), sg(20), torus (4)",,69,69,,Pentium 4 2.90 GHz,2 GB,,C,,,
lopezrodriguez2007 ,2007,MAXCUT ,,,,,,,1,1,0,Same computer,Yes -- MREM (meridacasermeiro2005); likely re-implement,Different,,,* ,WSEAS Transactions on Mathematics ,1,Neural network ,,random,,280,0,,,,,,,,
xu2007 ,2007,MAXCUT ,,,,,,,2,2,*,Results table,,Different,,,,Acta Mathematica Sinica ,1,Continuation algorithm ,,"small (5), random, G (9_34)",,19,14,,Pentium IV 1.6 GHz,256 MB,,MATLAB,n/a,,
sen1993 ,1993,MAXCUT ,,,,,,,0,0,0,---,,---,,,* ,SPIE 1993 ,1,Simulated annealing ,,random,,80,0,,,,,,,,
deSousa2013 ,2013,MAXCUT ,,,,,,,0,0,0,---,,---,,,* ,GbRPR 2013 Proceedings ,0,Evolutionary Alg. leveraging Population Based Incremental Learning ,,[images],,4,4,,,,,,,,
lin2012b ,2012,MAXCUT ,,,,,,,3,3,0,Results table,,Different,,,* ,Annals of Operations Research ,0,Modified Fiduccia-Mattheyses heuristic method ,,G (24_50); sg (20); torus,,48,48,,AMD 2.11 GHz,1 GB,XP,C,,,
wu2012 ,2012,MAXCUT ,,,,,,,6,6,0,Results table,,Different,,,* ,Parallel Problem Solving from Nature Proceedings ,0,Memetic Algorithm ,,G (30_67),,30,30,,Pentium 2.83 GHz,8GB,,C (gcc),,,
lin2012 ,2012,MAXCUT ,,,,,,,1,1,0,Results table,,Different,,,* ,8th International Conference on Natural Computation ,0,PROBE ,,G (24_50),,24,24,,AMD 2.11 GHz,1 GB,,C,,,
benameur2012,2012,MAXCUT,,,,,,,3,3,*1,Mixed (1/2),"Yes -- GW; No -- circut, vnspr",Different,,,,International Journal of Metaheuristics in Operational Research ,0,Gradient-based randomized algorithm ,,G (24_50); some other biqmaq (9),,33,33,,1.86 GHz,1 GB,,C++,,,
wang2012d ,2012,QUBP ,,,,,,,7,7,0,Results table,,Different,,,* ,CPAIOR 2012 ,0,Multilevel algorithm (UBQP) ,,p5-7,,11,11,,Pentium 2.83 GHz,2 GB,XP,C (gcc),,,
zhou2011 ,2011,QUBP ,,,,,,,10,9,0,Mixed (2/8),"Mixed: Yes -- DHNN-EDA (wang2010), TM (sun2003); No -- ITS (palubeckis2006), MST1, MST2 (palubeckis2004b), MA (merz2004), SS (marti2009), HCE (laguna2009), circut, VNSPR",Mixed (2/8),,,* ,Expert Systems with Applications ,0,Cooperative annealing Hopfield network ,,"p3-7, G (24_50), sg (20), torus",3000-7000 node instances,69,69,,Pentium 4 2.90 GHz,2 GB,,C,,,
xia2010 ,2010,MAXCUT ,,,,,,,2,2,0,Mixed (1/1),Mixed: Yes -- LS-TPG (alperin2005); No -- circut,Different,,,,Indian Journal of Pure and Appled Mathematics ,0,Lagrangian smoothing heuristic ,,G (11_34),,11,11,,2x AMD Turion 1.6 GHz (I thinkâ€_),,,MATLAB 7.6,n/a,,
xu2009 ,2009,MAXCUT ,,,,,,,4,4,0,Results table,,Different,,,* ,Asia-Pacific Journal of Operational Research ,0,Continuation Approach with NCP Function ,,G (18_52),,18,18,,Pentium 4 1.6 GHz,256 MB,,MATLAB 6.0,n/a,,
borgulya2008 ,2008,QUBP ,,,,,,,1,1,0,Results table,,Different,,,* ,GECCO 2008 ,0,Parallel evolutionary algorithm ,,"f, beasley 1000-2500",,25,25,,Pentium 4 1.8 GHz,256 MB,,Visual Basic,n/a,,
meridacasermeiro2007 ,2007,MAXCUT ,,,,,,,2,2,0,Same computer,"Yes: OCHOM (galanmarin2001), Wang (wang2004)",Different,,,* ,ESANN 2006 ,0,Neural networks and functional annealing ,,random,,25,0,,,,,,,,
carpentieri2006 ,2006,MAXCUT ,,,,,,,1,1,0,Same computer,Yes -- 1BGSC (bertoni1996); unclear how imp.,Different,Unclear how differs from carpentieri2007,,* ,GECCO 2006 ,0,Genetic algorithms ,,random,,14,0,,,,,,,,
